,title,genre,description
564,The Da Vinci Code,Fiction,"ISBN 9780307277671 moved to this edition.While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a trail of clues hidden in the works of Leonardo da Vinci—clues visible for all to see and yet ingeniously disguised by the painter.Even more startling, the late curator was involved in the Priory of Sion—a secret society whose members included Sir Isaac Newton, Victor Hugo, and Da Vinci—and he guarded a breathtaking historical secret. Unless Langdon and Neveu can decipher the labyrinthine puzzle—while avoiding the faceless adversary who shadows their every move—the explosive, ancient truth will be lost forever."
565,The Kite Runner,Fiction,"1970s Afghanistan: Twelve-year-old Amir is desperate to win the local kite-fighting tournament and his loyal friend Hassan promises to help him. But neither of the boys can foresee what would happen to Hassan that afternoon, an event that is to shatter their lives. After the Russians invade and the family is forced to flee to America, Amir realises that one day he must return to an Afghanistan under Taliban rule to find the one thing that his new world cannot grant him: redemption."
566,Harry Potter and the Chamber of Secrets,Fantasy,"Ever since Harry Potter had come home for the summer, the Dursleys had been so mean and hideous that all Harry wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he’s packing his bags, Harry receives a warning from a strange impish creature who says that if Harry returns to Hogwarts, disaster will strike.And strike it does. For in Harry’s second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor and a spirit who haunts the girls’ bathroom. But then the real trouble begins – someone is turning Hogwarts students to stone. Could it be Draco Malfoy, a more poisonous rival than ever? Could it possibly be Hagrid, whose mysterious past is finally told? Or could it be the one everyone at Hogwarts most suspects… Harry Potter himself!"
567,Lord of the Flies,Fiction,"At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate; this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far from reality as the hope of being rescued. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies is perhaps our most memorable novel about “the end of innocence, the darkness of man’s heart.”"
568,Harry Potter and the Prisoner of Azkaban,Fantasy,"Harry Potter, along with his best friends, Ron and Hermione, is about to start his third year at Hogwarts School of Witchcraft and Wizardry. Harry can't wait to get back to school after the summer holidays. (Who wouldn't if they lived with the horrible Dursleys?) But when Harry gets to Hogwarts, the atmosphere is tense. There's an escaped mass murderer on the loose, and the sinister prison guards of Azkaban have been called in to guard the school..."
569,One Last Shot,Christian Fiction,"When country music star Oaken Fox joins survivalist Mike Grizz's new adventure show in the Alaskan wilderness, he just wants to boost his fan base. But when tragedy strikes and Air One Rescue must save them, Oaken wants to quit. Too bad his producer has other plans--signing him on with Air One Rescue as a recruit and making a reality show.EMT Boo Kingston did not join Air One Rescue to train a celebrity. But she's a rookie to the team, so yes, she'll train Oaken and keep him alive and not for a minute pay attention to his charm.And then five women go missing from a resort during a bachelorette weekend gone wrong. Now, Air One and the rescue team will have to use all their skills and manpower--including Oaken--to find them before a blizzard settles in. But can they work together before tragedy strikes?"
570,The Lock Box,Thriller,"When an army vet-turned-safecracker is forcibly recruited to be part of a dangerous heist, she’ll need all her skills to get out alive in this fast-paced thriller perfect for fans of Jeffery Deaver and P. J. Tracy.Nearly a decade after getting chased out of the Army for fighting back against abuse, Monna Locke’s skill and discretion have made her the go-to safecracker for Los Angeles clients who need vaults opened and no questions asked. When a lawyer hires her to retrieve a box from his client’s mansion, it seems like an easy payday–until she opens the safe and is immediately attacked by heavily-armed men.Locke barely escapes and returns to her isolated cabin only to find the client waiting in her home, threatening what she holds most her son, Evan. After being knocked unconscious, she wakes up across the country, trapped in her own personal she and Evan will be held captive until she helps a seedy crew pull off a seemingly impossible heist.Forced to practice breaking into the most impenetrable safe ever designed, Locke bides her time and eyes her escape routes. She knows there’s no way to finish the job she’s been forced into, but it’s either crack the lock, or lose everything."
571,ONE PIECE 108,Manga,未来島からの脱出を図るルフィ達だが海軍の大船団が島を取り囲む。率いるのは大将“黄猿”!!　その中には五老星の姿もあり、かつてない規模の戦闘の予感が渦巻く…。“ひとつなぎの大秘宝”を巡る海洋冒険ロマン!!
572,The Stone Curse,Magic,"Gargoyles are meant to be unbreakable, but even stone shatters if you apply the right amount of pressure.The devastating attack on the cadets has the academy in lockdown. With betrayal coming from within our ranks, my circle of trust grows smaller.Everything is about to change."
573,The Omega Thief,Fantasy,"The Fenrir shifters had ruled Cadmeera successfully for thousands of years and Crown Prince Raz'mar Kinsharae was determined his reign would be as successful as his father’s.Unfortunately, no king could be crowned without bonding with an omega consort, an ancient magical ritual that had to take place first, and so far none of the omegas put forward were his bond mate.The Anti-Shifter Alliance had gone from annoying protestors to cold-blooded murderers in the blink of an eye, and on top of that a human petty thief had been arrested and was demanding a royal hearing.Raz wasn’t sure his day could get any worse.Raz was about to be proved wrong."
574,Kira and the (Maybe) Space Princess,Fantasy,"Fashionable fights, flashy attacks, and friends that are out of this world! This wacky and funny graphic novel series is a love letter to manga fans. With a tongue in cheek humor and delightfully fun action scenes, this series is perfect for fans of Sailor Moon , Cardcaptor Sakura , and Katie the Catsitter .There's nothing cooler than Magical Girls - pretty superheroes fighting villains with the power of friendship and glitter? What could be better than that! This year in middle school, Kira is going to be cool and popular and have SO many friends because she’s going to be a MAGICAL GIRL! ...Or not.Frustrated beyond belief, Kira makes a wish on a shooting star that her life will change – and when Catacorn, a cat-unicorn-space-princess, crashes into Kira's backyard, it seems her wish has come true…kinda…maybe… Oh no. Is Kira's dream of being a Magical Girl really possible...or is Catacorn not really what she promises to be?"
575,Kindling,Fantasy,"In this rich and evocative novel, seven kindlings search for purpose and identity as they prepare for one final battle. For fans of the classic films Seven Samurai and The Magnificent Seven.Once, the war was fought with kindlings—elite, magic-wielding warriors whose devastating power comes at the cost of their own young lives.Now, the war is over, and kindlings have been cast adrift—their magic outlawed, their skills outdated, their formidable balar weapons prized only as relics and souvenirs.Violence still plagues the countryside, and memories haunt those who remain. When a village comes under threat of siege, it offers an opportunity for seven kindlings to fight one last time. But war changed these warriors. And to reclaim who they once were, they will have to battle their pasts, their trauma, and their grim fates to come together again—or none of them will make it out alive.From bestselling and award-winning author Traci Chee comes a gut-wrenching, introspective fantasy about seven lost soldiers searching for the peace they once fought for and the future in which they’re finally daring to believe."
576,Leave No Trace,Mystery,"In a daring, brutal act of terrorism, an explosion rocks and topples the Statue of Liberty. Special Agent Michael Walker of the National Park Service is awakened by his boss with that news and sent to New York as the agent-in-charge. Not long after he lands, he learns two things - one that Gina Delgado of the FBI has been placed in charge of the investigation as the lead of the Joint Terrorism Task Force and two, that threats of a second terrorism attack are already being called into the media. While barred from the meetings of the Joint Task Force for his lack of security clearance, Walker finds a young boy among the survivors with a critical piece of information - a video linking the attackers to the assault.As a radical domestic terrorist group, led by a shadowy figure known only as Jebediah, threatens further attacks against America's cultural symbols, powerful forces within the government are misleading the investigation to further their own radical agenda."
577,The Cursed Rose,Fantasy,"The fate of a cursed kingdom rests on ancient secrets, broken promises, and fierce friendships in this gasp-worthy final book of the bestselling twisted fairytale Bone Spindle series.**Perfect for fans of Margaret Rogerson, Holly Black, and Marissa Meyer**Not all curses should be broken. Not all fairytales end happily ever after.Fi is a prisoner. Briar, a monster. Shane's a warrior. And Red is a traitor. What was once a formidable group of four fighting to reawaken the kingdom is now ruptured, torn apart by the wicked Spindle Witch.Confined to a tower with the monstrous Briar Rose, Fi is caught in the Spindle Witch’s ever-tightening web. With the Spindle Witch on the verge of finding the Siphoning Spells and crushing Andar—with Fi’s help, no less—Fi’s only hope lies in decoding the ancient riddle of the Rose Witches before she loses Briar forever.Shane is desperate to save Andar—and her partner. She’s on the hunt for a weapon left by the mysterious Lord of the Butterflies, which holds the key to the Spindle Witch’s demise. Her love for Red has only fortified. But Red’s betrayal puts her in danger from a new enemy—the Spindle Witch’s executioner, the Wraith, a witch as powerful as he is cruel.The future of Andar lies in the secrets of its past. Fi and Shane must take on the greatest lost ruin of them all—the Tomb of Queen Aurora.Filled with vicious bone monsters, new alliances, and surprises at every turn, prepare to be swept away by this taut, clever, and heart-filled series conclusion."
578,The Diabolical,Mystery,"Bruno Johnson is a wanted fugitive—and unless he helps the Costa Rican police, they’re turning him inEx-cop, ex-con Bruno Johnson is hiding from US law enforcement in Costa Rica with his wife, Marie, and the twelve children they rescued from toxic homes in south central Los Angeles. Bruno works at the Lido Cabana Bar at the Punta Bandera Hotel, and his friend, Karl Drago, is getting married on the beach right outside. After the festivities, Bruno and Marie go skinny dipping in the ocean, but they’re quickly interrupted by a visit from law enforcement.A shooting has just occurred at El Gato Gordo nightclub, and the victim is a prominent local figure and Bruno’s close friend. The chief of police asks Bruno to help investigate, but the stakes are higher than ever—if Bruno doesn’t find the shooter, the chief will turn him over to US authorities.Everything is complicated further when Bruno becomes a victim of a crime himself, realizing that someone else may be after him. Bruno has to juggle the police investigation with figuring out who’s targeting him—if he drops the ball, it might be the last thing he ever does.Perfect for fans of Michael Connelly and David BaldacciWhile all of the novels in the Bruno Johnson Crime Series stand on their own and can be read in any order, the publication sequence The DisposablesThe ReplacementsThe SquanderedThe VanquishedThe InnocentsThe RecklessThe HeartlessThe RuthlessThe SinisterThe ScornedThe Diabolical"
579,화이트 블러드. 1,Manhwa,"세상에 적응하기위한 노력에도 불구하고 뱀파이어를 향한 시민들의 적개심은 높아져만 간다. 이 모든 원흉의 중심은 바로 혼혈 뱀파이어들! 살인을 저지르며 사회를 공포로 몰아넣는 그들은 힘, 권력, 돈 모든 것을 가지고 대한민국을 잠식해 가고 있다. 하지만 그들에게도 치명적인 단점이 있으니, 바로 5년이라는 짧은 수명! 이 수명을 채우기 위해 필요한 건 단 하나. 순혈의 피!성인이 된 하얀의 심장을 노리는 혼혈 뱀파이어들의 습격이 시작된다! 하얀의 운명은 어디로 향하게 될까?"
580,Without Regrets,M M Romance,"Lines were crossed.But nobody can mess with Fighter except for him.Okay, there might have been some issues along the way, but fighting his enemy never felt so good.Fighter –Arrogant prick. Thinking he was easy.Keep your distance.Hate…was too nice of a word to describe his feelings for the big bossy billionaire.Tyler Brick thought he could buy anything.Well, not him!Enemies to loversRich man/poor manPowerful BillionaireBodyguards"
581,Still See You Everywhere,Thriller,"She has called herself ""death,"" but people called her the devil.The case was sensational. Kaylee Pierson had confessed from the very beginning, waived all appeals. Despite the media’s chronicling of her tragic circumstances—the childhood spent with a violent father—no one could find sympathy for “the Beautiful Butcher” who had led eighteen men home from bars before viciously slitting their throats. Now, with only twenty-one days left to live, Pierson has finally received a lead on the whereabouts of the sister who was kidnapped over a decade ago, and she needs Frankie’s help to find her. The Beautiful Butcher’s offer: When was the last time your search ended with finding the living? Unable to resist the chance for a rescue, Frankie takes on Pierson’s request. Twelve years ago, five-year-old Leilani went missing in Hawaii. The main suspect? Pierson’s tech mogul ex-boyfriend, Sanders MacManus. Now, on a remote island in the middle of the Pacific—the site of MacManus’s latest vanity project—fresh evidence has appeared. In order to learn the truth and possibly save a young woman’s life, Frankie must go undercover at the isolated base camp. Her challenge: A dozen strangers. Countless dangerous secrets. Zero means of calling for help. And then the storm rolls in…"
582,Matterhorn,Thriller,"A sudden family death and an old nemesis bring retired agent Mac Dekker in from the cold in this alpine thriller .Robbie Steinhardt lives a peaceful life. A fixture of his small alpine village, he tends cattle, minds his own business, and doesn’t dwell on his former life and the family and lover he left behind—back when he was Mac Dekker, CIA.But when he learns his son Will died following in his footsteps, he needs answers. What mission took Will up into the alpine heights, and why is Ilya Ivashka on the same trail? Ilya—his close friend, his rival in love. Ilya, who framed Mac for treason and sent him into hiding.Wiping away the years, Mac returns to the field to find the secrets Will hid and finds himself facing the Herculean task of stopping a terrorist plot that threatens thousands. But in a field of double agents, who can he trust?"
583,Three-Inch Teeth,Mystery,"Wyoming game warden Joe Pickett faces two different kinds of rampaging beasts—one animal, one human—in this riveting new novel from #1 New York Times bestseller C.J. Box.A rogue grizzly bear has gone on a rampage—killing, among others, the fiancee of Joe’s daughter. At the same time, Dallas Cates, who Joe helped lock up years ago, is released from prison with a list of six names tattooed on his skin. He wants revenge on the people who sent him the people he blames for the deaths of his entire family and the loss of his reputation and property.    Targeted are a judge, the county prosecutor, his lawyer, a prison guard—and both Nate Romanowski and Joe Pickett. Using the grizzly attacks as cover, Cates devises a method of violence identical to the bear killings and sets out to methodically check off his list."
584,Twenty Years Later,Mystery,"But TWENTY YEARS LATER, to understand the present, you need to listen to the past… Avery Mason, host of American Events, knows the subjects that grab a TV audience’s attention. Her latest story—a murder mystery laced with kinky sex, tragedy, and betrayal—is guaranteed to be ratings gold. New DNA technology has allowed the New York medical examiner’s office to make its first successful identification of a 9/11 victim in years. The twist: the victim, Victoria Ford, had been accused of the gruesome murder of her married lover. In a chilling last phone call to her sister, Victoria begged her to prove her innocence. Emma Kind has waited twenty years to put her sister to rest, but closure won’t be complete until she can clear Victoria’s name. Alone she’s had no luck, but she’s convinced that Avery’s connections and fame will help. Avery, hoping to negotiate a more lucrative network contract, goes into investigative overdrive. Victoria had been having an affair with a successful novelist, found hanging from the balcony of his Catskills mansion. The rope, the bedroom, and the entire crime scene was covered in Victoria’s DNA. But the twisted puzzle of Victoria’s private life is just the beginning. And what Avery doesn't realize is that there are other players in the game who are interested in Avery’s own secret past—one she has kept hidden from both the network executives and her television audience. A secret she thought was dead and buried . . .  Accused of a brutal murder, Victoria Ford made a final chilling call from the North Tower on the morning of 9/11. Twenty years ago, no one listened. Today, you will."
585,West with Giraffes,Historical Fiction,"“Few true friends have I known and two were giraffes…”Woodrow Wilson Nickel, age 105, feels his life ebbing away. But when he learns giraffes are going extinct, he finds himself recalling the unforgettable experience he cannot take to his grave.It’s 1938. The Great Depression lingers. Hitler is threatening Europe, and world-weary Americans long for wonder. They find it in two giraffes who miraculously survive a hurricane while crossing the Atlantic. What follows is a twelve-day road trip in a custom truck to deliver Southern California’s first giraffes to the San Diego Zoo. Behind the wheel is the young Dust Bowl rowdy Woodrow. Inspired by true events, the tale weaves real-life figures with fictional ones, including the world’s first female zoo director, a crusty old man with a past, a young female photographer with a secret, and assorted reprobates as spotty as the giraffes.Part adventure, part historical saga, and part coming-of-age love story, West with Giraffes explores what it means to be changed by the grace of animals, the kindness of strangers, the passing of time, and a story told before it’s too late."
586,Don’t Forget to Write,Historical Fiction,"In 1960, a young woman discovers a freedom she never knew existed in this exhilarating, funny, and emotional novel by the bestselling author of She’s Up to No Good . When Marilyn Kleinman is caught making out with the rabbi’s son in front of the whole congregation, her parents ship her off to her great-aunt Ada for the summer. If anyone can save their daughter’s reputation, it’s Philadelphia’s strict premier matchmaker. Either that or Marilyn can kiss college goodbye. To Marilyn’s surprise, Ada’s not the humorless septuagenarian her mother described. Not with that platinum-blonde hair, Hermès scarf, and Cadillac convertible. She’s sharp, straight-talking, takes her job very seriously, and abides by her own rules…mostly. As the summer unfolds, Ada and Marilyn head for the Jersey shore, where Marilyn helps Ada scope out eligible matches—for anyone but Marilyn, that is. Because if there’s one thing Marilyn’s learned from Ada, it’s that she doesn’t have to settle. With the school year quickly approaching and her father threatening to disinherit her, Marilyn must make her choice for her future: return to the comfortable life she knows, or embrace a risky, unknown path on her own."
587,나 혼자만 레벨업 1,Manga,"~Contains episodes 1-10~1웹툰 나 혼자만 레벨업만화 장성락(REDICE), 원작 추공 ｜ 매주 목요일 카카오페이지 독점연재​10여 년 전, 다른 차원과 이쪽 세계를 이어 주는 통로 ‘게이트’가 열리고 평범한 이들 중 각성한 자들이 생겨났다.게이트 안의 던전에서 마물을 사냥하는 각성자.그들을 일컬어 ‘헌터’라 부른다.그러나 모든 헌터가 강한 것은 아니다.내 이름은 성진우.E급 헌터다. 저급 던전에서조차 죽을 고비를 넘겨야 하는‘인류 최약병기’. 무엇 하나 내세울 것 없는 형편에저급 던전으로 근근이 생계를 이어가던 그는,D급 던전 속에 숨겨진 최악의 난이도의 이중 던전을 만난다.그리고 결국… 죽음을 맞이하려던 순간,그는 기이한 능력을 얻게 된다. 오직 그에게만 보이는 게임 퀘스트 창!오직 그만이 알게 된 레벨 업의 비밀!퀘스트를 따라 수련하고몬스터를 사냥하면 레벨이 오른다.오직 그 혼자만! 최약체 헌터에서 최강 헌터로 각성하다!"
588,The Secret,Thriller,"Eight respectable, upstanding people have been found dead across the US. These deaths look like accidents and don't appear to be connected. Until one body - the victim of a fatal fall from a hospital window - generates some unexpected attention.That attention comes from the Secretary of Defence, who promptly calls for an inter-agency task force to investigate. Jack Reacher is assigned as the Army's representative.Reacher may be an exceptional soldier, but sweeping other people's secrets under the carpet isn't part of his skill set. As he races to discover the link between these victims, and who killed them, he must navigate around the ulterior motives of his new 'partners'. And all while moving into the sight line of some of the most dangerous people he has ever encountered.His mission is to uncover the truth. The question is: will Reacher bring the bad guys to justice the official way . . . or his way?PRAISE FOR THE JACK REACHER SERIES'There's only one Jack Reacher. Accept no substitutes.' MICK HERRON'Jack Reacher is today's James Bond, a thriller hero we can't get enough of.' KEN FOLLETT'Everyone needs to kick some butt sometimes, even if it's just imaginary.' JOJO MOYESAlthough the Jack Reacher novels can be read in any order, The Secret is the 28th book in the internationally bestselling series.PRE-ORDER YOUR COPY NOW"
589,City in Ruins,Fiction,"Following  City on Fire  and  City of Dreams ,  City in Ruins  is the explosive, impossible to put down conclusion to  New York Times  bestselling author Don Winslow’s epic, genre-defining crime trilogy and the final book of Winslow's extraordinary career. Sometimes you have to become what you hate to protect what you love. Danny Ryan is rich. Beyond his wildest dreams rich. The former dock worker, Irish mob soldier and fugitive from the law is now a respected businessman – a Las Vegas casino mogul and billionaire silent partner in a group that owns two lavish hotels. Finally, Danny has it a beautiful house, a child he adores, a woman he might even fall in love with. Life is good. But then Danny reaches too far. When he tries to buy an old hotel on a prime piece of real estate with plans to build his dream resort, he triggers a war against Las Vegas power brokers, a powerful FBI agent bent on revenge and a rival casino owner with dark connections of his own. Danny thought he had buried his past, but now it reaches up to him from the grave to pull him down. Old enemies surface, and when they come for Danny they vow to take  everything  – not only his empire, not just his life, but all that he holds dear, including his son. To save his life and everything he loves, Danny must become the ruthless fighter he once was – and never wanted to be again. Ranging from the gritty back rooms of Providence, RI to the power corridors of Washington, DC and Wall Street to the golden casinos of Las Vegas,  City in Ruins  is an epic crime novel of love and hate, ambition and desperation, vengeance and compassion."
590,Extinction,Thriller,"Erebus Resort, occupying a magnificent, hundred-thousand–acre valley deep in the Colorado Rockies, offers guests the experience of viewing woolly mammoths, Irish Elk, and giant ground sloths in their native habitat, brought back from extinction through the magic of genetic manipulation. When a billionaire's son and his new wife are kidnapped and murdered in the Erebus back country by what is assumed to be a gang of eco-terrorists, Colorado Bureau of Investigation Agent Frances Cash partners with county sheriff James Colcord to track down the perpetrators. As killings mount and the valley is evacuated, Cash and Colcord must confront an ancient, intelligent, and malevolent presence at Erebus, bent not on resurrection but on extinction."
591,One Moment in Time,Fiction,"Sometimes the best surprises reveal the most shocking secrets.After three decades of marriage, Brenda Jones has decided to leave her husband, just as soon as they both return from a mystery trip with their daughter Zara. But she has no idea that Zara is flying them to Las Vegas to renew their vows.Zara Jones has recreated almost every detail of her parent’s original wedding - now her only challenge is tracking down the two friends who were pictured with her mum and dad back in 1993.Aiden Gregg is dealing with his own relationship woes when he receives an unexpected message from a complete stranger. With the help of Facebook, Zara has tracked him down and is asking if his parents are the other couple in the old photo? And if so, could he bring them to Vegas for a surprise reunion?What Zara and Aiden don’t know is that thirty years ago, One Moment In Time changed everything.Will rewinding the clock right the wrongs of the past?Or are they all counting down to a rendezvous with disaster?"
592,Judgment Prey,Mystery,"Alex Sand was spending the evening at home playing basketball with his two young sons when all three were shot in cold blood. A wealthy federal judge, there’s no short list of people who could have a vendetta against Sands, but the gruesome murders, especially that of his children, turn their St. Paul community on its head. Sand was on the verge of a major donation to a local housing charity, Heart/Twin Cities, and with the money in limbo, eyes suddenly turn to his grieving widow, Margaret Cooper, to see what she might do with the money. Margaret, distraught over the death of her family, struggles to move forward, and can’t imagine how or why anyone would target her husband.With public pressure mounting and both the local police force and FBI hitting dead end after dead end, Lucas Davenport and Virgil Flowers are called in to do what others could not: find answers. With each potential lead flawed, Davenport and Flowers are determined to chase every theory until they figure out who killed the Sands. But when they find themselves being stonewalled by the most unlikely of forces, the two wonder if perhaps each misdirection could lead them closer to the truth."
593,The Chaos Agent,Thriller,"A car accident in Japan.A drowning in Seoul.A home invasion in Boston.Someone is killing the world’s leading experts on robotics and artificial intelligence. Is it a tech company trying to eliminate the competition or is it something even more sinister?After all, artificial intelligence may be the deadliest battlefield gamechanger since the creation of gunpowder. The first nation to field weapons that can act at the speed of computer commands will rule the battlefield.It’s an irresistible lure for most, but not for the Gray Man. His quest for a quiet life has led him to Central America where he and his lover, Zoya Zakharova, have assumed new identities. With a list of enemies that  includes billionaires, terrorists, and governments, they need to keep a low profile, but the world’s deadliest assassin can’t expect to hide out forever.Eventually, they’re tracked down and offered a job by an old acquaintance of Zoya’s. He needs their help extracting a Russian scientist who is on the kill list. They reject the offer, but just being seen with him is enough to put assassins on their trail.Now, they’re back on the run, but no matter which way they turn, it's clear that whoever's tracking them is always going to be one step ahead. Since flight’s no longer possible, fight is the only option left, and no one fights dirtier than the Gray Man."
594,Dark Dive,Mystery,"A Wall Street Journal bestselling series. Searching for a missing diver takes a Florida detective on a deep-diving adventure in a gripping thriller by the Amazon Charts bestselling author of Sea Castle . After the Underwater Investigation Unit’s disbandment, public outcry ushers Sloan McPherson and her partner, former navy diver Scott Hughes, back into the depths of crime solving. But Sloan’s return comes with a personal case. Longtime family friend Fred Stafford has disappeared. Left his abandoned truck in the vicinity of an unmarked sinkhole and new findings that have Sloan second-guessing everything she thought she knew about the man. There are his gambling debts, his association with a treasure-hunting band of underwater cavern junkies called the Dive Rats, and most alarming of all, a discovery in Stafford’s storage shed that raises the stakes even higher and plunges Sloan into an unfathomable mystery. As Sloan’s investigation unfolds, a tragic Florida cold case, local superstitions, and a shocking conspiracy collide. For Sloan, finding Stafford and uncovering the buried secrets of the past soon drag her deeper into the dark unknown than she feared."
595,Argylle,Mystery,"A luxury train speeding towards Moscow and a date with destiny.A CIA plane downed in the jungles of the Golden Triangle.A Nazi hoard entombed in the remote mountains of South-West Poland.A missing treasure, the eighth wonder of the world, lost for seven decades.One Russian magnate's dream of restoring a nation to greatness has set in motion a chain of events which will take the world to the brink of chaos. Only Frances Coffey, the CIA's most legendary spymaster, can prevent it. But to do so, she needs someone special. Enter Argylle, a troubled agent with a tarnished past who may just have the skills to take on one of the most powerful men in the world. If only he can save himself first..."
596,The Hunger Games,Young Adult,"The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen, who lives alone with her mother and younger sister, regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before—and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love."
597,Catching Fire,Young Adult,"Flames are spreading.And the Capitol wants revenge. Against all odds, Katniss Everdeen has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol—a rebellion that Katniss and Peeta may have helped create. Much to her shock, Katniss has fueled an unrest that she's afraid she cannot stop. And what scares her even more is that she's not entirely convinced she should try. As time draws near for Katniss and Peeta to visit the districts on the Capitol's cruel Victory Tour, the stakes are higher than ever. If they can't prove, without a shadow of a doubt, that they are lost in their love for each other, the consequences will be horrifying.In Catching Fire, the second novel of the Hunger Games trilogy, Suzanne Collins continues the story of Katniss Everdeen, testing her more than ever before . . . and surprising readers at every turn."
598,Mockingjay,Young Adult,"Why am I not dead?I should be dead.Katniss Everdeen, girl on fire, has survived, even though her home has been destroyed. Gale has escaped. Katniss's family is safe. Peeta has been captured by the Capitol. District 13 really does exist. There are rebels. There are new leaders. A revolution is unfolding.It is by design that Katniss was rescued from the arena in the cruel and haunting Quarter Quell, and it is by design that she has long been part of the revolution without knowing it. District 13 has come out of the shadows and is plotting to overthrow the Capitol. Everyone, it seems, has had a hand in the carefully laid plans—except Katniss.The success of the rebellion hinges on Katniss's willingness to be a pawn, to accept responsibility for countless lives, and to change the course of the future of Panem. To do this, she must put aside her feelings of anger and distrust. She must become the rebels' Mockingjay—no matter what the personal cost."
599,Divergent,Young Adult,"In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. For Beatrice, the decision is between staying with her family and being who she really is—she can't have both. So she makes a choice that surprises everyone, including herself.During the highly competitive initiation that follows, Beatrice renames herself Tris and struggles alongside her fellow initiates to live out the choice they have made. Together they must undergo extreme physical tests of endurance and intense psychological simulations, some with devastating consequences. As initiation transforms them all, Tris must determine who her friends really are—and where, exactly, a romance with a sometimes fascinating, sometimes exasperating boy fits into the life she's chosen. But Tris also has a secret, one she's kept hidden from everyone because she's been warned it can mean death. And as she discovers unrest and growing conflict that threaten to unravel her seemingly perfect society, she also learns that her secret might help her save those she loves . . . or it might destroy her."
600,Insurgent,Young Adult,"But every choice has consequences, and as unrest surges in the factions all around her, Tris Prior must continue trying to save those she loves—and herself—while grappling with haunting questions of grief and forgiveness, identity and loyalty, politics and love.Tris's initiation day should have been marked by celebration and victory with her chosen faction; instead, the day ended with unspeakable horrors. War now looms as conflict between the factions and their ideologies grows. And in times of war, sides must be chosen, secrets will emerge, and choices will become even more irrevocable—and even more powerful. Transformed by her own decisions but also by haunting grief and guilt, radical new discoveries, and shifting relationships, Tris must fully embrace her Divergence, even if she does not know what she may lose by doing so.New York Times bestselling author Veronica Roth's much-anticipated second book of the dystopian DIVERGENT series is another intoxicating thrill ride of a story, rich with hallmark twists, heartbreaks, romance, and powerful insights about human nature."
601,The Lightning Thief,Fantasy,"Alternate cover for this ISBN can be found herePercy Jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. And lately, being away at boarding school is only getting worse - Percy could have sworn his pre-algebra teacher turned into a monster and tried to kill him. When Percy's mom finds out, she knows it's time that he knew the truth about where he came from, and that he go to the one place he'll be safe. She sends Percy to Camp Half Blood, a summer camp for demigods (on Long Island), where he learns that the father he never knew is Poseidon, God of the Sea. Soon a mystery unfolds and together with his friends—one a satyr and the other the demigod daughter of Athena - Percy sets out on a quest across the United States to reach the gates of the Underworld (located in a recording studio in Hollywood) and prevent a catastrophic war between the gods."
602,The Maze Runner,Young Adult,"If you ain’t scared, you ain’t human. When Thomas wakes up in the lift, the only thing he can remember is his name. He’s surrounded by strangers—boys whose memories are also gone. Nice to meet ya, shank. Welcome to the Glade. Outside the towering stone walls that surround the Glade is a limitless, ever-changing maze. It’s the only way out—and no one’s ever made it through alive. Everything is going to change. Then a girl arrives. The first girl ever. And the message she delivers is terrifying. Remember. Survive. Run."
